designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,x,y,z
Gaia DR3 261243245503357184,261243245503357184,77.59368404672577,48.84041567180086,42.82489756685424,179.08168740482853,-387.4109808411025,1.2821766,11.137177,2.344823,12.727307,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3268.0408,3.939,-1.2562,23.2321,0.0014,0.0009,0.0006,0.0198512847140523,0.09024138782097782,0.1056969098981683
Gaia DR3 4110096961504087168,4110096961504087168,261.53462132326536,-24.686384018362112,42.96010756840402,-6.835569456548764,84.7219475782514,0.9117561,14.125867,3.232502,-24.980215,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3027.4731,5.0744,-0.1875,23.2336,0.0,0.0,0.0,-0.01877706375497936,-0.12616170696264883,-0.05863035947308029
Gaia DR3 6735410976814156672,6735410976814156672,281.9005576156837,-33.7023983591255,42.87382182956184,-284.0553387766159,-117.97945970565974,1.247408,13.4977255,2.9128513,22.532148,NOT_AVAILABLE,0,False,False,False,False,False,True,True,3139.519,5.0358,-0.1909,23.2453,0.0,0.0,0.0,0.024071048202779756,-0.11421980049477934,-0.07785539326167092
Gaia DR3 6519227714961476352,6519227714961476352,340.2452528931576,-46.202075543925794,42.87804809950188,103.50478908950242,-18.608020581863016,0.9257068,8.733119,1.3302488,34.12145,NOT_AVAILABLE,0,True,True,False,False,False,False,True,4563.4385,4.6442,-0.0634,23.2461,0.0001,0.0001,0.0,0.09139295824539047,-0.032821973412975505,-0.10127058151283208
Gaia DR3 2216158427021654528,2216158427021654528,323.25795220070376,62.00331897565261,42.97559729229628,369.8657186386316,194.94270038357064,0.97464687,8.922066,1.4435415,-11.418878,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4246.1025,4.5429,-0.482,23.2488,0.0,0.0,0.0,0.05277180117956682,-0.03939516573961388,0.12387199531145304
Gaia DR3 1379416712336909440,1379416712336909440,241.6246534038012,38.62985896311901,43.01876893615886,232.5674325363379,-535.8032678288876,1.0439918,8.282883,1.1825771,23.414646,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4715.9346,4.5687,-0.2848,23.2495,0.0,0.0,0.0,-0.052082222543510734,-0.09642319844675613,0.087578177048351
Gaia DR3 5901924435035073152,5901924435035073152,224.53656766914176,-48.864454956151015,43.19037421836751,-11.222030029983928,-338.5608881694874,4.784751,6.180665,0.8903098,31.326908,NOT_AVAILABLE,0,True,True,False,False,False,True,True,5477.118,4.2457,-0.56,23.2529,0.0,0.0,0.0,-0.06577180319908485,-0.06471633729219238,-0.10564108613101303
Gaia DR3 1933018063851510784,1933018063851510784,340.99750281245025,42.26089466325326,42.8590225389296,191.49526482930423,-270.6571201656397,1.3748829,13.018014,2.6948547,-16.609535,VARIABLE,0,True,True,False,True,False,False,True,3249.2073,4.9378,-0.4113,23.2532,0.1012,0.0646,0.0429,0.0981501311661463,-0.0338005854510128,0.09432782206375767
Gaia DR3 3662636823132300032,3662636823132300032,203.67206658148984,-0.5956181019830046,43.74674588145839,-276.9029992866074,44.62071265610922,2.4453328,3.3738446,0.3116889,-5.7275577,NOT_AVAILABLE,0,True,True,False,False,False,True,True,8066.827,3.8664,-1.03,23.2578,0.0,0.0,0.0,-0.12842856465935612,-0.05630153645911277,-0.0014577873404546912
Gaia DR3 773861404893710208,773861404893710208,174.68333229178108,45.108484455356525,42.93911636589614,-595.8444016526206,15.078644928423763,0.93917286,6.3238754,0.753345,-16.952326,NOT_AVAILABLE,0,True,True,False,False,False,True,True,5834.493,4.3512,-0.6711,23.2603,0.0,0.0,0.0,-0.09853686634564993,0.009169901183924575,0.09933809003900655
Gaia DR3 3473913108288671488,3473913108288671488,180.86572026706315,-29.382222823584108,42.94769013222093,-237.7614389988696,216.96434318833812,1.0747273,13.841037,3.0995321,8.185956,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3071.4373,5.0238,-0.2405,23.2611,0.0009,0.0005,0.0004,-0.12216483080766764,-0.0018460106492978858,-0.06879426732365958
Gaia DR3 3502412621478297088,3502412621478297088,191.7905170950911,-22.37722189506096,42.986216909821614,-266.7101071389972,-57.40102284745208,1.2366139,11.28736,2.3728533,-9.957482,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3211.357,4.1006,-0.8766,23.2768,0.0,0.0,0.0,-0.12683544307391353,-0.02647539688499495,-0.05334431677077653
Gaia DR3 2115351387048328832,2115351387048328832,273.8847765893452,45.20880689744349,42.934767999584665,-77.28976881332912,-114.74768832765268,0.95885587,6.149785,0.80211496,-64.50502,NOT_AVAILABLE,0,True,True,False,False,False,True,True,5697.6694,4.2976,-0.3475,23.2788,0.0,0.0,0.0,0.00668762461274848,-0.09848322330391995,0.0994321339587999
Gaia DR3 3766401961693098368,3766401961693098368,151.15604256353396,-11.729808870320932,42.95615496435577,-191.5887858264924,-24.52718428545848,1.0109936,7.895095,1.0893292,-12.337138,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4903.1855,4.5319,-0.3554,23.2835,0.0001,0.0001,0.0001,-0.12013915108942783,0.06616713574465251,-0.02847786862220513
Gaia DR3 5300714225746375424,5300714225746375424,139.5362914911103,-57.76678657726321,42.87355460435922,-84.29859838580401,469.6549066880828,1.001367,9.046162,1.5181332,59.0465,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4257.867,4.6094,0.2017,23.2872,0.0001,0.0001,0.0,-0.05683479723117382,0.04847927675553666,-0.11847288744836988
Gaia DR3 6241924010489984896,6241924010489984896,235.82492553015211,-20.264156897925982,42.83230591927196,-304.0474784368154,-1128.4327292058797,1.2535348,12.191792,2.2065868,-22.474375,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3451.2715,4.9765,-0.4576,23.2965,0.0004,0.0003,0.0002,-0.07377498255652151,-0.1086582402904285,-0.04848958361358818
Gaia DR3 1859954627138933888,1859954627138933888,312.3167807343781,32.28360250300368,42.85975511748982,-161.70642881582023,-266.9560721160851,0.9950702,7.9744954,1.1305714,10.656841,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4833.984,4.5453,-0.1405,23.3063,0.0,0.0,0.0,0.07964980781056717,-0.08748251010305154,0.07474516277590267
Gaia DR3 1364505238720496256,1364505238720496256,269.39899906958004,50.42744170282121,42.964095246211365,71.15677656551289,662.8197367841292,1.08371,14.635902,3.4870539,,NOT_AVAILABLE,0,True,True,False,False,False,True,True,2942.9937,5.1073,-0.2043,23.3078,0.0,0.0,0.0,-0.00093507293023765,-0.08914090604812681,0.10786391745369667
Gaia DR3 4535145719786807552,4535145719786807552,278.3106658851541,22.31939999457493,42.69829613484298,-169.90121536191305,-475.47057999479375,1.0871325,14.3982935,3.3182478,38.387264,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3002.7705,5.1051,-0.266,23.3121,0.0001,0.0001,0.0001,0.01870738504025831,-0.1280675607643156,0.053132952863374314
Gaia DR3 261243245503357056,261243245503357056,77.59290099995212,48.840629657770734,42.8442894528191,176.01753611865263,-390.280811240227,1.2404051,11.075937,2.3338661,11.783814,NOT_AVAILABLE,0,True,True,False,False,False,False,True,3337.1887,4.4236,-0.4116,23.3156,0.0,0.0,0.0,0.01978133581869233,0.08991755245887029,0.1053187221238792
Gaia DR3 1322906861255829376,1322906861255829376,243.48291382263915,33.772960984010666,44.2673512452419,-286.96507877317606,-89.81838022886134,9.261864,11.26897,2.4253626,-12.212692,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3199.17,4.1004,-0.7741,23.3181,0.0001,0.0001,0.0,-0.051909799532436185,-0.10403724422685069,0.07775557522360721
